start_lat,start_lng,end_lat,end_lng,start_station_id,end_station_id,weekday_name,cnt
37.7752,-122.465,37.7752,-122.465,454.0,454.0,Friday,12
37.3711,-121.8813,37.3711,-121.8813,444.0,444.0,Sunday,12
37.355,-121.9044,37.355,-121.9044,391.0,391.0,Saturday,12
37.8002,-122.2538,37.8002,-122.2538,200.0,200.0,Monday,12
37.8023,-122.4245,37.8023,-122.4245,441.0,441.0,Monday,12
37.7829,-122.3879,37.7829,-122.3879,38.0,38.0,Sunday,12
37.7829,-122.3879,37.7829,-122.3879,38.0,38.0,Saturday,12
37.772,-122.4537,37.773,-122.5091,377.0,521.0,Friday,11
37.8688,-122.2588,37.8691,-122.2706,239.0,246.0,Saturday,11
37.7641,-122.4674,37.7641,-122.4674,451.0,451.0,Saturday,11
37.7577,-122.3919,37.7577,-122.3919,130.0,130.0,Sunday,11
37.8087,-122.2699,37.8087,-122.2699,183.0,183.0,Tuesday,11
37.7973,-122.3984,37.7973,-122.3984,11.0,11.0,Wednesday,11
37.782,-122.4828,37.782,-122.4828,520.0,520.0,Friday,11
37.7634,-122.4641,37.7634,-122.4641,457.0,457.0,Sunday,11
37.7881,-122.3919,37.7881,-122.3919,27.0,27.0,Sunday,11
37.8002,-122.2538,37.8002,-122.2538,200.0,200.0,Tuesday,11
37.8043,-122.4335,37.8043,-122.4335,400.0,400.0,Thursday,11
37.7614,-122.4264,37.7614,-122.4264,120.0,120.0,Saturday,11
37.8008,-122.2749,37.8008,-122.2749,202.0,202.0,Saturday,11
37.3413,-121.9032,37.3413,-121.9032,291.0,291.0,Saturday,11
37.7641,-122.4674,37.7641,-122.4674,451.0,451.0,Sunday,11
37.7614,-122.4264,37.7614,-122.4264,120.0,120.0,Friday,11
37.7829,-122.3879,37.8046,-122.4021,38.0,462.0,Saturday,11
37.7752,-122.465,37.7752,-122.465,454.0,454.0,Wednesday,11
37.7752,-122.465,37.773,-122.5091,454.0,521.0,Sunday,11
37.772,-122.4537,37.772,-122.4537,377.0,377.0,Thursday,11
